user_text,error_type,source
PC keeps restarting,Windows Boot Failure,display_power_training
Computer keeps restarting,Windows Boot Failure,display_power_training
PC restart loop,Windows Boot Failure,display_power_training
Computer restart loop,Windows Boot Failure,display_power_training
PC restarting continuously,Windows Boot Failure,display_power_training
Computer restarting continuously,Windows Boot Failure,display_power_training
Computer shuts down suddenly,PSU / Power Issue,display_power_training
PC turns off suddenly,PSU / Power Issue,display_power_training
Computer turns off suddenly,PSU / Power Issue,display_power_training
PC shuts down without warning,PSU / Power Issue,display_power_training
Computer shuts down unexpectedly,PSU / Power Issue,display_power_training
PC powers off suddenly,PSU / Power Issue,display_power_training
Computer powers off suddenly,PSU / Power Issue,display_power_training
PC makes beeping sound,PSU / Power Issue,display_power_training
Computer beeping on start,PSU / Power Issue,display_power_training
PC beeps when starting,PSU / Power Issue,display_power_training
Computer beeps on startup,PSU / Power Issue,display_power_training
PC beep sound on boot,PSU / Power Issue,display_power_training
Computer beep error,PSU / Power Issue,display_power_training
PC makes beep codes,PSU / Power Issue,display_power_training
Computer only starts after many attempts,PSU / Power Issue,display_power_training
PC starts after multiple tries,PSU / Power Issue,display_power_training
Computer starts after many tries,PSU / Power Issue,display_power_training
PC takes many attempts to start,PSU / Power Issue,display_power_training
Computer takes many attempts to start,PSU / Power Issue,display_power_training
Computer starts very slowly,Windows Boot Failure,display_power_training
PC boots very slowly,Windows Boot Failure,display_power_training
Computer boots very slowly,Windows Boot Failure,display_power_training
PC takes long to start,Windows Boot Failure,display_power_training
Computer takes long to start,Windows Boot Failure,display_power_training
PC slow to boot,Windows Boot Failure,display_power_training
Computer slow to boot,Windows Boot Failure,display_power_training
Computer stuck on boot screen,Windows Boot Failure,display_power_training
PC stuck at boot screen,Windows Boot Failure,display_power_training
Computer stuck at boot screen,Windows Boot Failure,display_power_training
PC hangs on boot screen,Windows Boot Failure,display_power_training
Computer hangs on boot screen,Windows Boot Failure,display_power_training
PC frozen on boot screen,Windows Boot Failure,display_power_training
Computer frozen on boot screen,Windows Boot Failure,display_power_training
PC stuck on startup screen,Windows Boot Failure,display_power_training
Computer stuck on startup screen,Windows Boot Failure,display_power_training
