user_text,component_label,component_definition,why_useful,extra_explanation
User reports issue related to psu upgrade or symptoms hinting toward it.,PSU Upgrade,PSU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"PSU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",PSU Upgrade may be required based on the symptoms described.
User reports issue related to sata cable replacement or symptoms hinting toward it.,SATA Cable Replacement,SATA Cable Replacement is a hardware component or upgrade relevant to computer performance or repair.,"SATA Cable Replacement helps resolve the problem by improving stability, performance, or fixing failing hardware.",SATA Cable Replacement may be required based on the symptoms described.
User reports issue related to monitor replacement or symptoms hinting toward it.,Monitor Replacement,Monitor Replacement is a hardware component or upgrade relevant to computer performance or repair.,"Monitor Replacement helps resolve the problem by improving stability, performance, or fixing failing hardware.",Monitor Replacement may be required based on the symptoms described.
User reports issue related to case fan upgrade or symptoms hinting toward it.,Case Fan Upgrade,Case Fan Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"Case Fan Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",Case Fan Upgrade may be required based on the symptoms described.
User reports issue related to ups upgrade or symptoms hinting toward it.,UPS Upgrade,UPS Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"UPS Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",UPS Upgrade may be required based on the symptoms described.
User reports issue related to motherboard replacement or symptoms hinting toward it.,Motherboard Replacement,Motherboard Replacement is a hardware component or upgrade relevant to computer performance or repair.,"Motherboard Replacement helps resolve the problem by improving stability, performance, or fixing failing hardware.",Motherboard Replacement may be required based on the symptoms described.
User reports issue related to thermal paste reapply or symptoms hinting toward it.,Thermal Paste Reapply,Thermal Paste Reapply is a hardware component or upgrade relevant to computer performance or repair.,"Thermal Paste Reapply helps resolve the problem by improving stability, performance, or fixing failing hardware.",Thermal Paste Reapply may be required based on the symptoms described.
User reports issue related to surge protector or symptoms hinting toward it.,Surge Protector,Surge Protector is a hardware component or upgrade relevant to computer performance or repair.,"Surge Protector helps resolve the problem by improving stability, performance, or fixing failing hardware.",Surge Protector may be required based on the symptoms described.
User reports issue related to case rgb controller or symptoms hinting toward it.,Case RGB Controller,Case RGB Controller is a hardware component or upgrade relevant to computer performance or repair.,"Case RGB Controller helps resolve the problem by improving stability, performance, or fixing failing hardware.",Case RGB Controller may be required based on the symptoms described.
User reports issue related to gpu upgrade or symptoms hinting toward it.,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
User reports issue related to mouse upgrade or symptoms hinting toward it.,Mouse Upgrade,Mouse Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"Mouse Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",Mouse Upgrade may be required based on the symptoms described.
User reports issue related to cpu upgrade or symptoms hinting toward it.,CPU Upgrade,CPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Upgrade may be required based on the symptoms described.
User reports issue related to cmos reset or symptoms hinting toward it.,CMOS Reset,CMOS Reset is a hardware component or upgrade relevant to computer performance or repair.,"CMOS Reset helps resolve the problem by improving stability, performance, or fixing failing hardware.",CMOS Reset may be required based on the symptoms described.
User reports issue related to thermal sensors or symptoms hinting toward it.,Thermal Sensors,Thermal Sensors is a hardware component or upgrade relevant to computer performance or repair.,"Thermal Sensors helps resolve the problem by improving stability, performance, or fixing failing hardware.",Thermal Sensors may be required based on the symptoms described.
User reports issue related to liquid cooler upgrade or symptoms hinting toward it.,Liquid Cooler Upgrade,Liquid Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"Liquid Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",Liquid Cooler Upgrade may be required based on the symptoms described.
User reports issue related to laptop battery replacement or symptoms hinting toward it.,Laptop Battery Replacement,Laptop Battery Replacement is a hardware component or upgrade relevant to computer performance or repair.,"Laptop Battery Replacement helps resolve the problem by improving stability, performance, or fixing failing hardware.",Laptop Battery Replacement may be required based on the symptoms described.
User reports issue related to wifi adapter upgrade or symptoms hinting toward it.,WiFi Adapter Upgrade,WiFi Adapter Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"WiFi Adapter Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",WiFi Adapter Upgrade may be required based on the symptoms described.
No power when pressing the power button,PSU Upgrade,PSU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"PSU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",PSU Upgrade may be required based on the symptoms described.
Computer stuck in boot loop,PSU Upgrade,PSU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"PSU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",PSU Upgrade may be required based on the symptoms described.
System freezes on Windows logo,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Fans spin but no POST,PSU Upgrade,PSU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"PSU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",PSU Upgrade may be required based on the symptoms described.
Laptop not charging even when plugged in,PSU Upgrade,PSU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"PSU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",PSU Upgrade may be required based on the symptoms described.
Power LED blinking but not turning on,PSU Upgrade,PSU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"PSU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",PSU Upgrade may be required based on the symptoms described.
Motherboard LED glows but PC won't boot,PSU Upgrade,PSU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"PSU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",PSU Upgrade may be required based on the symptoms described.
GPU reaches 90°C while gaming,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
Fans running at full speed all the time,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
Thermal throttling in games,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
GPU fan not spinning,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
PC temperature rises rapidly after cleaning,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
Liquid cooler pump not detected,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
Exhaust airflow feels too hot,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
PC extremely loud under small load,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
CPU thermal paste dried out,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
Case fans spinning slowly,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
FPS drops after few minutes of gameplay,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
Stuttering when moving camera in games,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
Sudden FPS spikes and freezes,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
Game crashes after loading screen,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
Screen tearing during gameplay,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
Game closes without error,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
Monitor loses signal during gaming,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Mouse lag only in games,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
GPU thermal throttling while gaming,CPU Cooler Upgrade,CPU Cooler Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"CPU Cooler Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",CPU Cooler Upgrade may be required based on the symptoms described.
DirectX error during game startup,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
Windows takes too long to start,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Disk usage stays at 100%,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Files take too long to copy,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Not enough storage to install apps,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Windows update fails due to low disk,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Random file corruption issues,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
SSD speed too slow,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
HDD extremely noisy,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
PC freezes when accessing folders,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Storage not recognized after BIOS update,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Partition missing after restart,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Game installed on HDD loads very slowly,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
File transfer freezes randomly,SSD Upgrade,SSD Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"SSD Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",SSD Upgrade may be required based on the symptoms described.
Memory usage reaches 90% on idle,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
PC crashes with memory management BSOD,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
Random reboots with no error,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
Laptop RAM not detected,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
Applications stop responding,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
RAM slot not working,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
System beeps indicating memory error,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
Heavy lag when switching apps,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
Excel or Photoshop crashes,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
Games crash randomly,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
Memory leak in background processes,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
PC restarts when using too many apps,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
Virtual memory warning,RAM Upgrade,RAM Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"RAM Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",RAM Upgrade may be required based on the symptoms described.
Ethernet not detecting cable,WiFi Adapter Upgrade,WiFi Adapter Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"WiFi Adapter Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",WiFi Adapter Upgrade may be required based on the symptoms described.
Bluetooth keeps disconnecting,WiFi Adapter Upgrade,WiFi Adapter Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"WiFi Adapter Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",WiFi Adapter Upgrade may be required based on the symptoms described.
Router works but PC won't connect,WiFi Adapter Upgrade,WiFi Adapter Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"WiFi Adapter Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",WiFi Adapter Upgrade may be required based on the symptoms described.
Websites take too long to load,WiFi Adapter Upgrade,WiFi Adapter Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"WiFi Adapter Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",WiFi Adapter Upgrade may be required based on the symptoms described.
Can't connect to 5GHz network,WiFi Adapter Upgrade,WiFi Adapter Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"WiFi Adapter Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",WiFi Adapter Upgrade may be required based on the symptoms described.
Display turns black during use,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Monitor turns off by itself,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Lines appearing on the display,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Ghosting while scrolling,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Monitor stuck at 60hz,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Dual monitor not detected,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Dead pixels appearing,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Backlight bleed visible at corners,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Display showing artifacts,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Flickering only during games,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
Screen goes dim on battery,Monitor or GPU Check,Monitor or GPU Check is a hardware-related recommendation.,Monitor or GPU Check may help resolve the described issue.,This recommendation comes from manually labeled data.
GPU overheating even on idle,GPU Upgrade,GPU Upgrade is a hardware component or upgrade relevant to computer performance or repair.,"GPU Upgrade helps resolve the problem by improving stability, performance, or fixing failing hardware.",GPU Upgrade may be required based on the symptoms described.
