user_text,error_type,component_label,source
PC no display VGA,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card overheating and System slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU fan not working plus PC slow after update,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
Power button not working plus Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC shutdown suddenly and PC stuck BIOS and PC no display HDMI,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
No display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card fan loud problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC dead after rain also PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU overheat warning also System slow overall,GPU Overheat,GPU Overheat,auto_corrected_from_test
cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
usb device not recognized please,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
PC slow opening files Windows not starting,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
gpu temperature high please,GPU Overheat,GPU Overheat,auto_corrected_from_test
my pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
my pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU shutdown due to heat plus PC very slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card too hot and PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu overheat warning please,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU shutdown due to heat also System slow overall,GPU Overheat,GPU Overheat,auto_corrected_from_test
the usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
pc usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
computer graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
fix no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC power flicker and PC not start after update,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC can't connect WiFi plus USB device not recognized,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
laptop pc not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
fix gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
the pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
WiFi connected no internet also USB port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
pc not start after update issue,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
help pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no display HDMI Need better graphics card,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC no display HDMI and Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
computer gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display vga issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
help gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
No display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
no display issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc no display hdmi problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
No display also Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
computer usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
"Storage upgrade required, Windows not starting",SSD Upgrade,SSD Upgrade,auto_corrected_from_test
"Need faster storage, PC stuck on logo",SSD Upgrade,SSD Upgrade,auto_corrected_from_test
fix pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Graphics card thermal throttle and System slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC start only sometimes, PC not start after update, PC no signal display",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
CPU shutdown due to heat plus PC slow performance,CPU Overheat,CPU Overheat,auto_corrected_from_test
pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
my gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
CPU shutdown due to heat also PC very unresponsive,CPU Overheat,CPU Overheat,auto_corrected_from_test
fix gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card too hot plus System slow overall,GPU Overheat,GPU Overheat,auto_corrected_from_test
usb device not recognized problem,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
computer gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
"SSD not fast enough, PC stuck on logo",SSD Upgrade,SSD Upgrade,auto_corrected_from_test
gpu fan not working problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
cpu shutdown due to heat please,CPU Overheat,CPU Overheat,auto_corrected_from_test
help graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
my gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC on blank screen and Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
No display also Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU cooling problem plus PC slow after update,GPU Overheat,GPU Overheat,auto_corrected_from_test
Screen black PC on Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu temperature high issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
the computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
"Screen black PC on, Graphics card not detect",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
SSD upgrade needed also Windows not starting,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
help pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
help graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card fan loud also System slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc slow loading programs please,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
laptop no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc not start after update issue,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
computer pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC dead after rain plus Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
fix pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card overheating problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
Power button not working and PC stuck on logo and Monitor no signal,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
No display also GPU too weak,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
computer pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
GPU temperature high and PC slow performance,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC slow opening files Windows not starting,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
help pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
fix gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
help gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC dead after rain and PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Graphics card fan loud and PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start noise then off and PC stuck startup repair and PC no display VGA,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
gpu temperature high problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop pc not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"Monitor no signal, Graphics card upgrade needed",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC no signal display plus Need better graphics card,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
