user_text,error_type,component_label,source,text
PC freeze boot,SSD Upgrade,SSD Upgrade,real_world_solutions,pc freeze boot
PC freeze disk access,SSD Upgrade,SSD Upgrade,real_world,pc freeze disk access
PC freeze disk scan,SSD Upgrade,SSD Upgrade,real_world,pc freeze disk scan
PC freeze file copy,SSD Upgrade,SSD Upgrade,real_world,pc freeze file copy
PC freeze while install,SSD Upgrade,SSD Upgrade,real_world,pc freeze while install
PC freezes when accessing folders,SSD Upgrade,,,pc freezes when accessing folders
PC freezes when downloading games.,SSD Upgrade,,,pc freezes when downloading games.
PC hang file open,SSD Upgrade,SSD Upgrade,real_world,pc hang file open
PC lag on boot,SSD Upgrade,SSD Upgrade,real_world_solutions,pc lag on boot
PC lag opening folders,SSD Upgrade,SSD Upgrade,real_world,pc lag opening folders
PC lag when start,SSD Upgrade,SSD Upgrade,real_world,pc lag when start
PC not boot after SSD,SSD Upgrade,SSD Upgrade,real_world,pc not boot after ssd
PC restart disk error,SSD Upgrade,SSD Upgrade,real_world,pc restart disk error
PC slow boot,SSD Upgrade,SSD Upgrade,real_world,pc slow boot
PC slow boot disk,SSD Upgrade,SSD Upgrade,real_world,pc slow boot disk
PC slow boot HDD,SSD Upgrade,SSD Upgrade,real_world_solutions,pc slow boot hdd
PC slow copy paste,SSD Upgrade,SSD Upgrade,real_world,pc slow copy paste
PC slow disk usage,SSD Upgrade,SSD Upgrade,real_world,pc slow disk usage
PC slow loading programs,SSD Upgrade,SSD Upgrade,real_world,pc slow loading programs
PC slow with HDD,SSD Upgrade,SSD Upgrade,real_world,pc slow with hdd
PC stuck disk check,SSD Upgrade,SSD Upgrade,real_world,pc stuck disk check
PC stuck loading windows,SSD Upgrade,SSD Upgrade,real_world,pc stuck loading windows
Random file corruption issues,SSD Upgrade,,,random file corruption issues
SSD boot fail,SSD Upgrade,SSD Upgrade,real_world,ssd boot fail
SSD not boot,SSD Upgrade,SSD Upgrade,real_world,ssd not boot
SSD not detected,SSD Upgrade,SSD Upgrade,real_world,ssd not detected
SSD not recognized,SSD Upgrade,SSD Upgrade,real_world,ssd not recognized
SSD read/write speeds are very slow.,SSD Upgrade,,,ssd read/write speeds are very slow.
SSD slow issue,SSD Upgrade,SSD Upgrade,real_world,ssd slow issue
Storage corrupted,SSD Upgrade,SSD Upgrade,real_world,storage corrupted
Storage disappear suddenly,SSD Upgrade,SSD Upgrade,real_world,storage disappear suddenly
Storage error windows,SSD Upgrade,SSD Upgrade,real_world,storage error windows
Storage fail message,SSD Upgrade,SSD Upgrade,real_world,storage fail message
Storage failure,SSD Upgrade,SSD Upgrade,real_world,storage failure
Storage lag issue,SSD Upgrade,SSD Upgrade,real_world,storage lag issue
Storage not readable,SSD Upgrade,SSD Upgrade,real_world,storage not readable
Storage not recognized after BIOS update,SSD Upgrade,,,storage not recognized after bios update
Storage not showing,SSD Upgrade,SSD Upgrade,real_world,storage not showing
System freezes on Windows logo,SSD Upgrade,,,system freezes on windows logo
System takes too long to open File Explorer.,SSD Upgrade,,,system takes too long to open file explorer.
The computer cannot detect the SSD sometimes.,SSD Upgrade,,,the computer cannot detect the ssd sometimes.
The computer lags heavily after Windows update.,SSD Upgrade,,,the computer lags heavily after windows update.
The SSD disappears from BIOS sometimes.,SSD Upgrade,,,the ssd disappears from bios sometimes.
The system hangs when copying large files.,SSD Upgrade,,,the system hangs when copying large files.
want to upgrade to 1tb ssd,SSD Upgrade,,,want to upgrade to 1tb ssd
Windows disk error,SSD Upgrade,SSD Upgrade,real_world,windows disk error
Windows disk problem,SSD Upgrade,SSD Upgrade,real_world,windows disk problem
Windows storage error,SSD Upgrade,SSD Upgrade,real_world,windows storage error
Windows stuck loading disk,SSD Upgrade,SSD Upgrade,real_world,windows stuck loading disk
windows takes 5 minutes to start,SSD Upgrade,,,windows takes 5 minutes to start
Windows update fails due to low disk,SSD Upgrade,,,windows update fails due to low disk
Audio keeps crackling during calls.,General Repair,,,audio keeps crackling during calls.
Backlight bleed visible at corners,General Repair,,,backlight bleed visible at corners
BIOS not detecting new CPU,General Repair,,,bios not detecting new cpu
Bluetooth doesn't work,General Repair,,,bluetooth doesn't work
Bluetooth headphones keep disconnecting.,General Repair,,,bluetooth headphones keep disconnecting.
Bluetooth no working,General Repair,,,bluetooth no working
Bluetooth not connecting,General Repair,,,bluetooth not connecting
Bluetooth not working,General Repair,,,bluetooth not working
Bluetooth won't connect,General Repair,,,bluetooth won't connect
Can't connect to 5GHz network,General Repair,,,can't connect to 5ghz network
CPU fails stress test,General Repair,,,cpu fails stress test
Dead pixels appearing,General Repair,,,dead pixels appearing
Display showing artifacts,General Repair,,,display showing artifacts
Display turns black during use,General Repair,,,display turns black during use
Dual monitor not detected,General Repair,,,dual monitor not detected
Error code show,General Repair,General Repair,real_world,error code show
Error message pop,General Repair,General Repair,real_world,error message pop
Ethernet not detecting cable,General Repair,,,ethernet not detecting cable
Flickering only during games,General Repair,,,flickering only during games
Ghosting while scrolling,General Repair,,,ghosting while scrolling
Heavy stuttering when CPU boosts,General Repair,,,heavy stuttering when cpu boosts
High ping despite fast internet,General Repair,,,high ping despite fast internet
High ping in online games,General Repair,,,high ping in online games
Hotspot not working,General Repair,,,hotspot not working
Keyboard keys respond with delay.,General Repair,,,keyboard keys respond with delay.
Keyboard RGB lights stop working.,General Repair,,,keyboard rgb lights stop working.
Keyboard stops working after waking from sleep.,General Repair,,,keyboard stops working after waking from sleep.
Laptop battery drains very quickly.,General Repair,,,laptop battery drains very quickly.
Laptop CPU underclocked permanently,General Repair,,,laptop cpu underclocked permanently
Laptop doesn't charge unless I hold the charger tightly.,General Repair,,,laptop doesn't charge unless i hold the charger tightly.
Laptop hinge is very tight and makes noise.,General Repair,,,laptop hinge is very tight and makes noise.
Laptop keyboard types on its own sometimes.,General Repair,,,laptop keyboard types on its own sometimes.
Laptop makes popping noise from speakers.,General Repair,,,laptop makes popping noise from speakers.
Laptop not start after sleep,General Repair,General Repair,real_world_solutions,laptop not start after sleep
Laptop shuts down at 50% battery.,General Repair,,,laptop shuts down at 50% battery.
Laptop system crash,General Repair,General Repair,real_world,laptop system crash
Laptop system fail,General Repair,General Repair,real_world,laptop system fail
Laptop system issue,General Repair,General Repair,real_world,laptop system issue
Laptop touchpad is unresponsive sometimes.,General Repair,,,laptop touchpad is unresponsive sometimes.
Limited connectivity error,General Repair,,,limited connectivity error
Lines appearing on the display,General Repair,,,lines appearing on the display
Monitor loses signal during gaming,General Repair,,,monitor loses signal during gaming
Monitor stuck at 60hz,General Repair,,,monitor stuck at 60hz
Monitor turns off by itself,General Repair,,,monitor turns off by itself
My PC not working properly,General Repair,General Repair,real_world,my pc not working properly
Network drops during video call,General Repair,,,network drops during video call
PC always crash,General Repair,General Repair,real_world,pc always crash
PC always error,General Repair,General Repair,real_world,pc always error
PC broken software,General Repair,General Repair,real_world,pc broken software
PC cannot encode videos smoothly,General Repair,,,pc cannot encode videos smoothly
PC crash error,General Repair,General Repair,real_world,pc crash error
PC error detected,General Repair,General Repair,real_world,pc error detected
PC error popup,General Repair,General Repair,real_world,pc error popup
PC fail POST,General Repair,General Repair,real_world_solutions,pc fail post
PC fail system,General Repair,General Repair,real_world,pc fail system
PC failure detected,General Repair,General Repair,real_world,pc failure detected
PC fault detected,General Repair,General Repair,real_world,pc fault detected
PC issue always,General Repair,General Repair,real_world,pc issue always
PC issue startup,General Repair,General Repair,comprehensive_test,pc issue startup
PC malfunction,General Repair,General Repair,real_world,pc malfunction
PC need fixing,General Repair,General Repair,real_world,pc need fixing
PC no response,General Repair,General Repair,real_world_solutions,pc no response
PC not normal,General Repair,General Repair,real_world,pc not normal
PC not start after clean,General Repair,General Repair,real_world_solutions,pc not start after clean
PC not working,General Repair,General Repair,real_world,pc not working
PC problem detected,General Repair,General Repair,real_world,pc problem detected
PC problem startup,General Repair,General Repair,comprehensive_test,pc problem startup
PC problem sudden,General Repair,General Repair,real_world,pc problem sudden
PC restart after update,General Repair,General Repair,real_world_solutions,pc restart after update
PC restart pressing power,General Repair,General Repair,real_world_solutions,pc restart pressing power
PC system failure,General Repair,General Repair,real_world,pc system failure
PC unknown error,General Repair,General Repair,real_world,pc unknown error
Random internet dropouts,General Repair,,,random internet dropouts
Router works but PC won't connect,General Repair,,,router works but pc won't connect
Screen goes dim on battery,General Repair,,,screen goes dim on battery
Something wrong PC,General Repair,General Repair,real_world,something wrong pc
System broken maybe,General Repair,General Repair,real_world,system broken maybe
System error always,General Repair,General Repair,real_world,system error always
System error detected,General Repair,General Repair,real_world,system error detected
System error message,General Repair,General Repair,real_world,system error message
System error occur,General Repair,General Repair,real_world,system error occur
System fault message,General Repair,General Repair,real_world,system fault message
System issue message,General Repair,General Repair,real_world,system issue message
System unstable after overclock,General Repair,,,system unstable after overclock
The audio works but microphone does not.,General Repair,,,the audio works but microphone does not.
The computer cannot connect to any Bluetooth device.,General Repair,,,the computer cannot connect to any bluetooth device.
The PC won't connect to Bluetooth devices.,General Repair,,,the pc won't connect to bluetooth devices.
Websites take too long to load,General Repair,,,websites take too long to load
Wi-Fi adapter missing from device manager,General Repair,,,wi-fi adapter missing from device manager
Wi-Fi not showing any networks,General Repair,,,wi-fi not showing any networks
Windows error popup,General Repair,General Repair,real_world,windows error popup
Windows problem detected,General Repair,General Repair,real_world,windows problem detected
BIOS open only,PSU / Power Issue,PSU / Power Issue,comprehensive_test,bios open only
Boot problem error,PSU / Power Issue,PSU / Power Issue,comprehensive_test,boot problem error
Computer emits burning smell occasionally.,PSU / Power Issue,,,computer emits burning smell occasionally.
Computer no power,PSU / Power Issue,PSU / Power Issue,real_world,computer no power
Computer not wake up,PSU / Power Issue,PSU / Power Issue,comprehensive_test,computer not wake up
Computer power issue,PSU / Power Issue,PSU / Power Issue,real_world,computer power issue
Computer randomly loses power.,PSU / Power Issue,,,computer randomly loses power.
Computer restart again again,PSU / Power Issue,PSU / Power Issue,real_world,computer restart again again
Computer restart again and again,PSU / Power Issue,PSU / Power Issue,comprehensive_test,computer restart again and again
Computer restart when plug charger,PSU / Power Issue,PSU / Power Issue,real_world,computer restart when plug charger
Computer restarts when launching a game.,PSU / Power Issue,,,computer restarts when launching a game.
Computer start randomly,PSU / Power Issue,PSU / Power Issue,real_world,computer start randomly
Computer stuck at logo,PSU / Power Issue,PSU / Power Issue,comprehensive_test,computer stuck at logo
Computer stuck in boot loop,PSU / Power Issue,,,computer stuck in boot loop
Fans spin but no POST,PSU / Power Issue,,,fans spin but no post
Laptop auto shutdown,PSU / Power Issue,PSU / Power Issue,real_world,laptop auto shutdown
Laptop battery not charging,PSU / Power Issue,PSU / Power Issue,real_world_solutions,laptop battery not charging
Laptop battery not detect,PSU / Power Issue,PSU / Power Issue,real_world,laptop battery not detect
Laptop charging light blink,PSU / Power Issue,PSU / Power Issue,real_world_solutions,laptop charging light blink
Laptop dead battery,PSU / Power Issue,PSU / Power Issue,real_world_solutions,laptop dead battery
Laptop dead no charging,PSU / Power Issue,PSU / Power Issue,real_world,laptop dead no charging
Laptop hangs when unplugging charger.,PSU / Power Issue,,,laptop hangs when unplugging charger.
Laptop no power,PSU / Power Issue,PSU / Power Issue,real_world_solutions,laptop no power
Laptop no power response,PSU / Power Issue,PSU / Power Issue,real_world_solutions,laptop no power response
Laptop not charging,PSU / Power Issue,PSU / Power Issue,real_world,laptop not charging
Laptop not charging even when plugged in,PSU / Power Issue,,,laptop not charging even when plugged in
Laptop not detect charger,PSU / Power Issue,PSU / Power Issue,real_world_solutions,laptop not detect charger
Laptop not power on,PSU / Power Issue,PSU / Power Issue,real_world,laptop not power on
Laptop not start,PSU / Power Issue,PSU / Power Issue,real_world_solutions,laptop not start
Laptop not turn on,PSU / Power Issue,PSU / Power Issue,real_world_solutions,laptop not turn on
Laptop power drain fast,PSU / Power Issue,PSU / Power Issue,real_world,laptop power drain fast
Laptop power light blink,PSU / Power Issue,PSU / Power Issue,real_world,laptop power light blink
Laptop restarts when moved slightly.,PSU / Power Issue,,,laptop restarts when moved slightly.
monitor is not power on,PSU / Power Issue,,,monitor is not power on
Monitor on but PC not,PSU / Power Issue,PSU / Power Issue,real_world,monitor on but pc not
Motherboard LED glows but PC won't boot,PSU / Power Issue,,,motherboard led glows but pc won't boot
My laptop doesn't boot unless I remove the battery.,PSU / Power Issue,,,my laptop doesn't boot unless i remove the battery.
My PC not turning on,PSU / Power Issue,PSU / Power Issue,real_world,my pc not turning on
My PC shuts down randomly when I open a game.,PSU / Power Issue,,,my pc shuts down randomly when i open a game.
My PC smells like burning after running for a few minutes.,PSU / Power Issue,,,my pc smells like burning after running for a few minutes.
My PC won't turn on unless I remove and reconnect the cables.,PSU / Power Issue,,,my pc won't turn on unless i remove and reconnect the cables.
No power at all,PSU / Power Issue,PSU / Power Issue,real_world_solutions,no power at all
PC beeps continuously and won't boot,PSU / Power Issue,,,pc beeps continuously and won't boot
PC dead after power cut,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc dead after power cut
PC dead after rain,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc dead after rain
PC dead after voltage drop,PSU / Power Issue,PSU / Power Issue,real_world,pc dead after voltage drop
PC dead suddenly,PSU / Power Issue,PSU / Power Issue,real_world,pc dead suddenly
PC fail to start,PSU / Power Issue,PSU / Power Issue,comprehensive_test,pc fail to start
PC keeps restarting without any warning.,PSU / Power Issue,,,pc keeps restarting without any warning.
PC light on but screen black,PSU / Power Issue,PSU / Power Issue,comprehensive_test,pc light on but screen black
PC no power after move,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc no power after move
PC no power button light,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc no power button light
PC no power LED,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc no power led
PC no power sometimes,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc no power sometimes
PC no signal,PSU / Power Issue,PSU / Power Issue,comprehensive_test,pc no signal
PC not start after power cut,PSU / Power Issue,PSU / Power Issue,real_world,pc not start after power cut
PC not start after update,PSU / Power Issue,PSU / Power Issue,comprehensive_test,pc not start after update
PC not start cold,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc not start cold
PC not turn off properly,PSU / Power Issue,PSU / Power Issue,comprehensive_test,pc not turn off properly
PC not turning on,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc not turning on
PC off when press power,PSU / Power Issue,PSU / Power Issue,real_world,pc off when press power
PC on but keyboard dead,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc on but keyboard dead
PC on but keyboard light off,PSU / Power Issue,PSU / Power Issue,comprehensive_test,pc on but keyboard light off
PC power click sound,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc power click sound
PC power delay,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc power delay
PC power drain fast,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc power drain fast
PC power flicker,PSU / Power Issue,PSU / Power Issue,real_world,pc power flicker
PC power noise,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc power noise
PC power off idle,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc power off idle
PC power on delay,PSU / Power Issue,PSU / Power Issue,real_world,pc power on delay
PC power surge damage,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc power surge damage
PC power unstable,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc power unstable
PC powers on only when cables are adjusted,PSU / Power Issue,,,pc powers on only when cables are adjusted
pc randomly shuts down when I play games,PSU / Power Issue,,,pc randomly shuts down when i play games
PC requires multiple attempts to turn on,PSU / Power Issue,,,pc requires multiple attempts to turn on
PC restart while boot,PSU / Power Issue,PSU / Power Issue,real_world_solutions,pc restart while boot
PC shutdown suddenly,PSU / Power Issue,PSU / Power Issue,real_world,pc shutdown suddenly
PC shuts down after GPU reaches high usage.,PSU / Power Issue,,,pc shuts down after gpu reaches high usage.
PC shuts down instantly under load.,PSU / Power Issue,,,pc shuts down instantly under load.
PC shuts down when plugging in more USB devices.,PSU / Power Issue,,,pc shuts down when plugging in more usb devices.
PC start beep sound,PSU / Power Issue,PSU / Power Issue,comprehensive_test,pc start beep sound
PC start but freeze,PSU / Power Issue,PSU / Power Issue,comprehensive_test,pc start but freeze
PC start but nothing works,PSU / Power Issue,PSU / Power Issue,comprehensive_test,pc start but nothing works
PC start noise then off,PSU / Power Issue,PSU / Power Issue,real_world,pc start noise then off
PC start only sometimes,PSU / Power Issue,PSU / Power Issue,real_world,pc start only sometimes
PC start slow then off,PSU / Power Issue,PSU / Power Issue,real_world,pc start slow then off
PC start then off,PSU / Power Issue,PSU / Power Issue,real_world,pc start then off
